trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
car1_Standard_toM_204500,20:45:00,20:45:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_204500,20:52:30,20:53:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_210000,21:00:00,21:00:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_210000,21:07:30,21:08:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_211500,21:15:00,21:15:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_211500,21:22:30,21:23:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_213000,21:30:00,21:30:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_213000,21:37:30,21:38:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_214500,21:45:00,21:45:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_214500,21:52:30,21:53:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_220000,22:00:00,22:00:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_220000,22:07:30,22:08:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_221500,22:15:00,22:15:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_221500,22:22:30,22:23:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_223000,22:30:00,22:30:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_223000,22:37:30,22:38:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_224500,22:45:00,22:45:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_224500,22:52:30,22:53:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_230000,23:00:00,23:00:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_230000,23:07:30,23:08:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_231500,23:15:00,23:15:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_231500,23:22:30,23:23:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_233000,23:30:00,23:30:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_233000,23:37:30,23:38:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_234500,23:45:00,23:45:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_234500,23:52:30,23:53:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_240000,24:00:00,24:00:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_240000,24:07:30,24:08:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_241500,24:15:00,24:15:30,1,1,Manhattan,0,0,,,0,1
